,News Station,Tweet,Date,Tweets Ago,Compound Score,Positive Score,Neutral Score,Negative Score
137,Fox News,"Marc Short: “Other countries have lowered their tax rates, which is why so many companies have relocated overseas,… https://t.co/TEzZyHgHhi",Sat Dec 02 00:37:05 +0000 2017,38,-0.128,0.0,0.923,0.077
138,Fox News,"Ex-NSA employee admits he kept top secret information at home
 https://t.co/N6urx5jlVN",Sat Dec 02 00:36:38 +0000 2017,39,0.4588,0.308,0.692,0.0
139,Fox News,Mexican man deported from US 20 times gets 35 years for assaults on women https://t.co/7odgKP4hUL,Sat Dec 02 00:26:39 +0000 2017,40,-0.5423,0.0,0.8,0.2
140,Fox News,Judge Nap: How Flynn Plea Deal Could Lead to 'Constitutional Crisis' https://t.co/linN0fEwKV,Sat Dec 02 00:17:28 +0000 2017,41,-0.6249,0.0,0.728,0.272
141,Fox News,".@jpaceDC: ""What we've seen happen with the Mueller investigation is that it has tentacles everywhere. And part of… https://t.co/UKyXXSq1lm",Sat Dec 02 00:09:18 +0000 2017,42,0.0,0.0,1.0,0.0
142,Fox News,"Baltimore records 319th homicide of year, surpassing 2016 https://t.co/prb1ftMGtV",Sat Dec 02 00:02:30 +0000 2017,43,0.0,0.0,1.0,0.0
143,Fox News,".@AmericanAir, pilots reach deal to avert holiday flight cancellations https://t.co/IsedWVtWJ5",Fri Dec 01 23:45:01 +0000 2017,44,0.2732,0.304,0.56,0.136
144,Fox News,"RT @MikeEmanuelFox: Senate GOP leaders say they have the votes to pass the tax bill - from #SpecialReport tonight:

https://t.co/2gh6XkGrwc",Fri Dec 01 23:41:17 +0000 2017,45,0.0,0.0,1.0,0.0
145,Fox News,"Two more arrested in brutal MS-13 murder where victim was maimed, decapitated https://t.co/SOGiMKKkVd",Fri Dec 01 23:34:00 +0000 2017,46,-0.9388,0.0,0.382,0.618
146,Fox News,VOLCANO SUNSET IN BALI: Officials have told people to evacuate the area near Mount Agung as it spews ash into the a… https://t.co/i7sMfVTq5H,Fri Dec 01 23:23:00 +0000 2017,47,0.0,0.0,1.0,0.0
147,Fox News,Zodiac Killer: Detectives hope DNA will unlock murderer's ID at last https://t.co/se9eJLDhUV,Fri Dec 01 23:12:00 +0000 2017,48,-0.34,0.169,0.581,0.25
148,Fox News,Hawaii tests nuclear warning sirens due to North Korea threat https://t.co/RLRe31wcCr,Fri Dec 01 23:02:44 +0000 2017,49,-0.7003,0.0,0.608,0.392
149,Fox News,OPINION: Charles Wald: US doesn't need Qatar air base if Qatar won't support our fight against terrorism https://t.co/DVlVvCDjLd,Fri Dec 01 22:58:59 +0000 2017,50,-0.6882,0.091,0.624,0.285
150,Fox News,"Kate Steinle murder case explained, from Trump's comments to DOJ arrest warrant https://t.co/qZRSqk07If",Fri Dec 01 22:54:22 +0000 2017,51,-0.7964,0.0,0.608,0.392
151,Fox News,".@Richardafowler on Senate tax bill: ""I do think that this bill is missing how you deal with the middle class and e… https://t.co/xnoHuKBQgN",Fri Dec 01 22:51:44 +0000 2017,52,-0.296,0.0,0.909,0.091
152,Fox News,".@RCamposDuffy on border security: ""I do think [@realDonaldTrump] is the one person who actually can make immigrati… https://t.co/8GbADc8iLe",Fri Dec 01 22:45:09 +0000 2017,53,0.34,0.124,0.876,0.0
153,Fox News,RT @FoxBusiness: LIVE coverage of the Reagan National Defense Forum! As the North Korea threat intensifies is America prepared and can we p…,Fri Dec 01 22:42:02 +0000 2017,54,-0.3164,0.127,0.746,0.127
154,Fox News,".@TuckerCarlson: ""Democrats have made no meaningful effort to win [former Democratic voters] over. Instead they hav… https://t.co/O5qOVq4eyR",Fri Dec 01 22:41:47 +0000 2017,55,0.5994,0.274,0.628,0.099
155,Fox News,.@Judgenap: How Flynn Plea Deal Could Lead to 'Constitutional Crisis' https://t.co/linN0fEwKV,Fri Dec 01 22:33:47 +0000 2017,56,-0.6249,0.0,0.709,0.291
156,Fox News,".@Richardafowler on Kate Steinle verdict: ""[Jose Zarate] does not represent the 11-million individuals who come to… https://t.co/arktNXmhvW",Fri Dec 01 22:30:03 +0000 2017,57,0.1531,0.091,0.909,0.0
157,Fox News,".@RCamposDuffy on Kate Steinle verdict: ""Hispanics still want to live in a country that's safe, still want to live… https://t.co/7iCyYr2QJ1",Fri Dec 01 22:27:07 +0000 2017,58,0.6249,0.321,0.679,0.0
158,Fox News,Here are the Republican senators to watch on tax reform https://t.co/HDp09V9za3,Fri Dec 01 22:20:03 +0000 2017,59,0.0,0.0,1.0,0.0
159,Fox News,DOJ files arrest warrant for illegal immigrant acquitted in Kate Steinle case https://t.co/41PlQKJuQg,Fri Dec 01 22:14:49 +0000 2017,60,-0.6124,0.111,0.556,0.333
160,Fox News,"Law enforcement errors inflamed Charlottesville violence, report says https://t.co/YRFMlFlI9x",Fri Dec 01 22:14:36 +0000 2017,61,-0.836,0.0,0.403,0.597
161,Fox News,"Al Franken under growing pressure to resign as groping claims mount, critics cite double standard - via… https://t.co/p5fYEiHvoX",Fri Dec 01 22:05:39 +0000 2017,62,-0.6249,0.079,0.605,0.316
162,Fox News,"""Sanctuary cities is an alien smuggler's best friend."" —ICE Acting Director Thomas Homan on illegal immigrant who k… https://t.co/VFwJeA5IGP",Fri Dec 01 21:58:54 +0000 2017,63,0.1531,0.169,0.685,0.145
163,Fox News,"""Releasing a public safety threat back into the public: that was just wrong. It was stupid."" —ICE Acting Director T… https://t.co/UkRADrohKv",Fri Dec 01 21:52:44 +0000 2017,64,-0.5719,0.106,0.646,0.247
164,Fox News,"""He should have been in Mexico, rather than killing this young lady."" —ICE Acting Director Thomas Homan on illegal… https://t.co/ZqfSRaaHq1",Fri Dec 01 21:48:40 +0000 2017,65,-0.6597,0.0,0.812,0.188
165,Fox News,BREAKING: @TheJusticeDept files arrest warrant for illegal immigrant acquitted in Kate Steinle case https://t.co/QTYU3Ofqlq,Fri Dec 01 21:41:44 +0000 2017,66,-0.6124,0.105,0.579,0.316
166,Fox News,"""I was sickened by what I heard last night and the verdict. These sanctuary cities gotta be held accountable. This… https://t.co/KoLj1Jy16L",Fri Dec 01 21:40:47 +0000 2017,67,-0.4404,0.069,0.779,0.152
167,Fox News,".@farenthold paid $84G sexual harassment settlement with taxpayer money, report says https://t.co/OgoJwpx0MQ",Fri Dec 01 21:39:00 +0000 2017,68,-0.5423,0.0,0.759,0.241
168,Fox News,".@SenatorLankford: ""When the @FBI talked to [Michael Flynn] in January he should have given the complete facts. He… https://t.co/Ky5QDFl34V",Fri Dec 01 21:27:44 +0000 2017,69,0.0,0.0,1.0,0.0
169,Fox News,.@SenTedCruz: Flynn Guilty Plea Is 'Disappointing and Disturbing'  @dailybriefing   https://t.co/3MkpwhV3So,Fri Dec 01 21:13:14 +0000 2017,70,-0.8519,0.0,0.429,0.571
170,Fox News,Veteran's son seeking to return father's portraits of other WWII soldiers https://t.co/vIDUOvaD8N https://t.co/ZVD8iu8N1Q,Fri Dec 01 21:05:30 +0000 2017,71,0.0,0.0,1.0,0.0
171,Fox News,".@Ford sues @JohnCena for selling $500,000 GT supercar, violating contract https://t.co/mAKJYIOhCr",Fri Dec 01 21:03:44 +0000 2017,72,-0.1697,0.185,0.587,0.228
172,Fox News,.@MarkWarner on Flynn's Guilty Plea: It Goes 'Well Beyond' Lying to the @FBI #OutnumberedOT https://t.co/MUrDPFLlg6,Fri Dec 01 20:50:45 +0000 2017,73,-0.6249,0.103,0.591,0.305
173,Fox News,Shock as @Amazon delivery woman defecates on customer’s front yard while dropping off package https://t.co/tXGTU3ceow,Fri Dec 01 20:47:44 +0000 2017,74,-0.3818,0.0,0.843,0.157
174,Fox News,"JUST IN: Rex Tillerson is not leaving role as Secretary of State, @realDonaldTrump says https://t.co/j6kFI54KT8 https://t.co/9Gdq1FkhPI",Fri Dec 01 20:26:54 +0000 2017,75,0.0,0.0,1.0,0.0
175,Fox News,"Law enforcement errors inflamed Charlottesville violence, report says https://t.co/u16mnaNuET",Fri Dec 01 19:55:21 +0000 2017,76,-0.836,0.0,0.403,0.597
176,Fox News,"Moments ago, @TedCruz told @DanaPerino what he'd like to see happen in the wake of the not guilty verdict in the… https://t.co/b5wncHAWAs",Fri Dec 01 19:35:03 +0000 2017,77,0.5248,0.191,0.752,0.057
177,Fox News,Flynn pleads guilty to false-statements charge in Russia probe https://t.co/p0SmXpxgKy,Fri Dec 01 19:29:05 +0000 2017,78,-0.4215,0.0,0.763,0.237
178,Fox News,".@tedcruz: ""Today's news was disappointing and disturbing. @GenFlynn has many decades of honorable service defendin… https://t.co/WBtoQDPKIE",Fri Dec 01 19:24:59 +0000 2017,79,-0.4588,0.152,0.565,0.283
179,Fox News,".@tedcruz: ""We're on the verge of major historic tax cuts."" @dailybriefing https://t.co/WjT1NxeKtO",Fri Dec 01 19:21:17 +0000 2017,80,0.0,0.0,1.0,0.0
180,Fox News,".@tedcruz: ""The Senate should take up and pass Kate's Law."" @dailybriefing https://t.co/MR1x58Xfgk",Fri Dec 01 19:19:06 +0000 2017,81,0.0,0.0,1.0,0.0
181,Fox News,"Last night, @MichelleMalkin slammed the not guilty verdict in the Kate Steinle murder trial. https://t.co/xOwH95IJZj https://t.co/LSDPhfDFfD",Fri Dec 01 19:18:22 +0000 2017,82,-0.5875,0.109,0.605,0.286
182,Fox News,"""Our investigation is ongoing and I think what we owe the American people is all the facts."" - Sen. @MarkWarner on… https://t.co/fLYdC2aMjn",Fri Dec 01 19:14:52 +0000 2017,83,0.0,0.0,1.0,0.0
183,Fox News,"""I'm anxious to hear General Flynn's full explanation of his contacts with the Russians. Clearly, he was willing to… https://t.co/fvNsolgbkB",Fri Dec 01 19:03:57 +0000 2017,84,0.1779,0.119,0.793,0.088
184,Fox News,"""The one individual that still seems to deny that this is not a major issue is Donald Trump, and I just kind of won… https://t.co/L61oI1KWXd",Fri Dec 01 19:01:17 +0000 2017,85,-0.34,0.0,0.902,0.098
185,Fox News,"""This is a story that you can't make it up. It's still remarkable to me..."" - Sen. @MarkWarner on Russia investigat… https://t.co/i7oO2tMiRL",Fri Dec 01 18:58:14 +0000 2017,86,0.5574,0.159,0.841,0.0
186,Fox News,"""This investigation is going to continue in its bipartisan fashion, and we're going to get the job done."" - Sen.… https://t.co/YTpikHFTOQ",Fri Dec 01 18:56:19 +0000 2017,87,0.0,0.0,1.0,0.0
187,Fox News,".@prattprattpratt threatens 'potential predator' imposter, warns female fans https://t.co/qufDJl4Fu3",Fri Dec 01 18:50:19 +0000 2017,88,-0.4588,0.0,0.636,0.364
188,Fox News,"Former @FBI Director James @Comey tweeted a Bible verse regarding ""justice"" after news that former National Securit… https://t.co/NkSV5fE0Pv",Fri Dec 01 18:34:25 +0000 2017,89,0.0,0.0,1.0,0.0
189,Fox News,'Facts of Life' star Kim Fields reveals how she overcame the child star curse https://t.co/raxcUbDjS0,Fri Dec 01 18:34:22 +0000 2017,90,-0.5423,0.0,0.8,0.2
190,Fox News,".@CortesSteve: ""We are still so far away from collusion and particularly any collusion that is tied directly to… https://t.co/sAVBpyuMFE",Fri Dec 01 18:26:15 +0000 2017,91,0.0,0.0,1.0,0.0
191,Fox News,Trump lawyer Ty Cobb responds to Mike Flynn guilty plea https://t.co/QLrm6NYyRr https://t.co/J0ioOdPzGU,Fri Dec 01 18:16:17 +0000 2017,92,-0.0516,0.169,0.649,0.182
192,Fox News,Zodiac Killer: Detectives hope DNA will unlock murderer's ID at last - via @CristinaCorbin https://t.co/4OLzbsIkyR,Fri Dec 01 18:10:35 +0000 2017,93,-0.34,0.151,0.625,0.224
193,Fox News,Massive New York fire started by amateur bladesmith attempting to imitate History Channel's 'Forged in Fire' https://t.co/pG4KpOJjml,Fri Dec 01 18:08:39 +0000 2017,94,-0.5859,0.0,0.758,0.242
194,Fox News,James Comey tweets 'justice' Bible verse after Flynn pleads guilty https://t.co/Mn4a5YdOcj,Fri Dec 01 18:06:49 +0000 2017,95,-0.4215,0.0,0.781,0.219
195,Fox News,".@BillHemmer: ""Ty Cobb, the attorney, this past hour said nothing about the guilty plea or the charge implicates an… https://t.co/XDH6npWV2Q",Fri Dec 01 17:55:36 +0000 2017,96,0.6036,0.215,0.785,0.0
196,Fox News,".@LisaMarieBoothe: ""We know that the FBI was dishonest about the documents... Comey testified under oath he was tol… https://t.co/RtwZU02vco",Fri Dec 01 17:49:21 +0000 2017,97,-0.5719,0.0,0.829,0.171
197,Fox News,"Clinton-Lynch tarmac meeting report triggered FBI hunt for leaker, new emails show https://t.co/tG57VQgUVG",Fri Dec 01 17:48:20 +0000 2017,98,0.0,0.0,1.0,0.0
198,Fox News,.@WaffleHouse customer cooks own meal as staffer sleeps https://t.co/VmphZ7hyR2,Fri Dec 01 17:47:46 +0000 2017,99,0.0,0.0,1.0,0.0
199,Fox News,"Last night, @larryelder slammed the verdict in the Kate Steinle trial. https://t.co/rhrTZiyAf0",Fri Dec 01 17:40:09 +0000 2017,100,0.1531,0.127,0.873,0.0
200,CNN,Police officer adopts homeless mother's opioid-addicted newborn https://t.co/zaXJeLox7b https://t.co/5GQPG1gZ0i,Sat Dec 02 03:00:18 +0000 2017,1,0.1779,0.175,0.825,0.0
201,CNN,Former President Obama met with the Dalai Lama in India on Friday https://t.co/qnMKlOyoIk https://t.co/QRFzCQQY4n,Sat Dec 02 02:50:05 +0000 2017,2,0.0,0.0,1.0,0.0
